Camera Anchor,PositionX,PositionY,PositionZ,RotationY,KeyObject1,KeyObject2,KeyObject3,Description
1-0,-3.47,1.2,0,0,instructionsPaper,Wand,GhostToy,A bookshelf filled with various books and a clock is the backdrop for a mysterious adventure. A wand and a creepy-looking ghost toy are the central objects of interest; hinting at supernatural elements in the story. The ghost toy is placed on the shelf; while the wand rests nearby; suggesting that the user might be on a quest to unravel the secrets of the haunted clock and the ghostly presence.
01月01日,-3.47,1.2,0,45,instructionsPaper,Chest,GhostToy,A green ghost is standing in a room with a chest and a bottle. The ghost appears to be peeking out from behind a door; adding a spooky element to the setting. The room seems to be designed for adventure; as the chest and bottle may contain clues or items to help navigate through the space. The overall atmosphere evokes a sense of mystery and intrigue; inviting the viewer to explore and uncover the secrets within this immersive digital environment.
02月01日,-3.47,1.2,0,90,instructionsPaper,Chest,GhostToy,A creepy-looking room is filled with various objects. There is a chest and a ghost toy; both of which seem to be emitting a strange aura. Additionally; an instructions paper can be found; likely providing guidance for navigating the peculiar space. The room appears to be designed for an adventure game; with its eerie atmosphere and intriguing objects; inviting players to explore and uncover its secrets.
03月01日,-3.47,1.2,0,135,instructionsPaper,KeyForDesk,Painting1,You find yourself standing inside a room with a wooden desk. On the desk; there is a computer monitor; a key for the desk; and a painting. The room also features a shelf with various items; including a book and a bottle. The overall setting has a creepy vibe; as if it were a scene from an adventure novel.
04月01日,-3.47,1.2,0,180,instructionsPaper,Painting1,Painting2,A green monster is seen hanging on the wall next to a picture. The image also features a pair of pictures on the wall; and a paper with instructions pasted to the wall. The setting appears to be in a room with a cozy atmosphere; where the green monster seems to be enjoying itself.
05月01日,-3.47,1.2,0,225,instructionsPaper,Painting2,Pumpking1,A chair is positioned next to a dining table with a bottle on it. Above the table; there is a Painting hanging on the wall; while a Pumpking rests nearby. An open InstructionsPaper can be found on the table; possibly providing guidance for the viewer on how to navigate the space or complete a task. The room has a wooden floor; and the overall atmosphere evokes a sense of adventure and exploration.
06月01日,-3.47,1.2,0,270,instructionsPaper,Cauldron,Stove,A green monster is standing in a room with a wooden floor; holding a large needle. The room features a bookshelf filled with books; a cauldron; and a stove. The atmosphere suggests a strange and mysterious adventure; with the monster possibly being a character in a video game or animated movie.
07月01日,-3.47,1.2,0,315,instructionsPaper,Cauldron,Wand,A fireplace sits in the corner of a room with a cauldron placed on top of it. A wand is also present in the scene; adding a mystical touch to the setting. The room appears to be designed for relaxation and comfort; with a cozy atmosphere perfect for enjoying a warm fire on a cold day.
2-0,-4.86,1.18,0.63,0,WindowFrame,,,A WindowFrame is set against a backdrop of a building. A small light source can be seen through the window; illuminating the space and creating a sense of adventure and curiosity.
01月02日,-4.86,1.18,0.63,45,PotionBottle,GhostToy,FirePlace,A PotionBottle sits on a shelf next to a FirePlace; creating a cozy atmosphere. A small GhostToy can also be seen; adding a mysterious touch to the setting. The image has a surreal and whimsical quality; as if the viewer has stepped into a magical world.
